microbiome_gene,partner,score,function
TLR9,MYD88,999,Bacterial CpG DNA recognition
TLR9,FGFR2,704,Bacterial CpG DNA recognition
TLR9,IRF7,969,Bacterial CpG DNA recognition
TLR9,ITGAX,816,Bacterial CpG DNA recognition
TLR9,IRF3,895,Bacterial CpG DNA recognition
TLR9,TICAM2,943,Bacterial CpG DNA recognition
TLR9,DDX58,902,Bacterial CpG DNA recognition
TLR9,CD40,845,Bacterial CpG DNA recognition
TLR9,AIM2,701,Bacterial CpG DNA recognition
TLR9,AGER,795,Bacterial CpG DNA recognition
NOD1,PGLYRP1,728,Intracellular peptidoglycan sensing
NOD1,TAB1,824,Intracellular peptidoglycan sensing
NOD1,RIPK2,999,Intracellular peptidoglycan sensing
NOD1,IRAK2,744,Intracellular peptidoglycan sensing
NOD1,RPS27A,900,Intracellular peptidoglycan sensing
NOD1,IKBKG,709,Intracellular peptidoglycan sensing
NOD1,PYCARD,821,Intracellular peptidoglycan sensing
NOD1,UBC,949,Intracellular peptidoglycan sensing
NOD1,SUGT1,973,Intracellular peptidoglycan sensing
NOD1,MYD88,744,Intracellular peptidoglycan sensing
NOD1,NOD2,975,Intracellular peptidoglycan sensing
NOD1,TLR4,801,Intracellular peptidoglycan sensing
NOD1,CASP9,885,Intracellular peptidoglycan sensing
NOD1,TLR5,744,Intracellular peptidoglycan sensing
NOD1,BIRC3,759,Intracellular peptidoglycan sensing
NOD1,ARHGEF2,902,Intracellular peptidoglycan sensing
NOD1,NLRC4,746,Intracellular peptidoglycan sensing
NOD1,APAF1,719,Intracellular peptidoglycan sensing
NOD1,DDX58,785,Intracellular peptidoglycan sensing
NOD1,NFKB1,727,Intracellular peptidoglycan sensing
NOD1,UBB,904,Intracellular peptidoglycan sensing
NOD1,IL18,765,Intracellular peptidoglycan sensing
NOD1,CARD9,795,Intracellular peptidoglycan sensing
NOD1,IRAK1,742,Intracellular peptidoglycan sensing
NOD1,CASP1,974,Intracellular peptidoglycan sensing
NOD1,CHUK,706,Intracellular peptidoglycan sensing
NOD1,TNF,828,Intracellular peptidoglycan sensing
NOD1,IL1B,780,Intracellular peptidoglycan sensing
NOD1,CASP4,791,Intracellular peptidoglycan sensing
NOD1,TLR1,783,Intracellular peptidoglycan sensing
NOD1,MAVS,710,Intracellular peptidoglycan sensing
NOD1,UBA52,901,Intracellular peptidoglycan sensing
NOD1,IKBKB,734,Intracellular peptidoglycan sensing
NOD1,TRAF6,815,Intracellular peptidoglycan sensing
NOD1,NLRP1,775,Intracellular peptidoglycan sensing
NOD1,BIRC2,861,Intracellular peptidoglycan sensing
NOD1,ATG16L1,999,Intracellular peptidoglycan sensing
NOD1,TLR2,855,Intracellular peptidoglycan sensing
NOD1,CASP2,731,Intracellular peptidoglycan sensing
NOD1,CASP8,800,Intracellular peptidoglycan sensing
NOD1,CARD6,889,Intracellular peptidoglycan sensing
NOD1,HSP90AA1,856,Intracellular peptidoglycan sensing
NOD2,PGLYRP1,710,Muramyl dipeptide sensing (Crohn disease)
NOD2,SLC22A4,841,Muramyl dipeptide sensing (Crohn disease)
NOD2,TAB1,717,Muramyl dipeptide sensing (Crohn disease)
NOD2,NFKBIA,708,Muramyl dipeptide sensing (Crohn disease)
NOD2,MEFV,749,Muramyl dipeptide sensing (Crohn disease)
NOD2,RIPK2,999,Muramyl dipeptide sensing (Crohn disease)
NOD2,NOD1,975,Muramyl dipeptide sensing (Crohn disease)
NOD2,NFKB1,776,Muramyl dipeptide sensing (Crohn disease)
NOD2,IFNG,770,Muramyl dipeptide sensing (Crohn disease)
NOD2,TLR2,983,Muramyl dipeptide sensing (Crohn disease)
NOD2,TRAF4,847,Muramyl dipeptide sensing (Crohn disease)
NOD2,IL1B,866,Muramyl dipeptide sensing (Crohn disease)
NOD2,BIRC3,825,Muramyl dipeptide sensing (Crohn disease)
NOD2,IL18,829,Muramyl dipeptide sensing (Crohn disease)
NOD2,TLR3,722,Muramyl dipeptide sensing (Crohn disease)
NOD2,SLC22A5,739,Muramyl dipeptide sensing (Crohn disease)
NOD2,CLEC7A,709,Muramyl dipeptide sensing (Crohn disease)
NOD2,IFIH1,855,Muramyl dipeptide sensing (Crohn disease)
NOD2,TLR9,920,Muramyl dipeptide sensing (Crohn disease)
NOD2,IKBKG,867,Muramyl dipeptide sensing (Crohn disease)
NOD2,IL10,701,Muramyl dipeptide sensing (Crohn disease)
NOD2,RNF31,864,Muramyl dipeptide sensing (Crohn disease)
NOD2,TNFSF15,770,Muramyl dipeptide sensing (Crohn disease)
NOD2,MAP3K7,877,Muramyl dipeptide sensing (Crohn disease)
NOD2,CCDC122,704,Muramyl dipeptide sensing (Crohn disease)
NOD2,TLR5,867,Muramyl dipeptide sensing (Crohn disease)
NOD2,SHARPIN,831,Muramyl dipeptide sensing (Crohn disease)
NOD2,DUOX2,759,Muramyl dipeptide sensing (Crohn disease)
NOD2,RBCK1,830,Muramyl dipeptide sensing (Crohn disease)
NOD2,IRGM,898,Muramyl dipeptide sensing (Crohn disease)
NOD2,TLR8,828,Muramyl dipeptide sensing (Crohn disease)
NOD2,NLRC4,921,Muramyl dipeptide sensing (Crohn disease)
NOD2,CARD14,771,Muramyl dipeptide sensing (Crohn disease)
NOD2,DDX58,891,Muramyl dipeptide sensing (Crohn disease)
NOD2,TNFAIP3,854,Muramyl dipeptide sensing (Crohn disease)
NOD2,IL23R,909,Muramyl dipeptide sensing (Crohn disease)
NOD2,ERBIN,993,Muramyl dipeptide sensing (Crohn disease)
NOD2,TLR4,899,Muramyl dipeptide sensing (Crohn disease)
NOD2,MYD88,854,Muramyl dipeptide sensing (Crohn disease)
NOD2,CHUK,780,Muramyl dipeptide sensing (Crohn disease)
NOD2,TNF,852,Muramyl dipeptide sensing (Crohn disease)
NOD2,MAVS,995,Muramyl dipeptide sensing (Crohn disease)
NOD2,TLR1,841,Muramyl dipeptide sensing (Crohn disease)
NOD2,DLG5,891,Muramyl dipeptide sensing (Crohn disease)
NOD2,TRAF6,862,Muramyl dipeptide sensing (Crohn disease)
NOD2,CYLD,888,Muramyl dipeptide sensing (Crohn disease)
NOD2,ATG5,967,Muramyl dipeptide sensing (Crohn disease)
NOD2,IKBKB,807,Muramyl dipeptide sensing (Crohn disease)
NOD2,TAB2,775,Muramyl dipeptide sensing (Crohn disease)
NOD2,CARD9,995,Muramyl dipeptide sensing (Crohn disease)
NOD2,XIAP,806,Muramyl dipeptide sensing (Crohn disease)
NOD2,IRAK1,759,Muramyl dipeptide sensing (Crohn disease)
NOD2,CASP1,923,Muramyl dipeptide sensing (Crohn disease)
NOD2,OAS2,891,Muramyl dipeptide sensing (Crohn disease)
NOD2,BID,708,Muramyl dipeptide sensing (Crohn disease)
NOD2,AAMP,952,Muramyl dipeptide sensing (Crohn disease)
NOD2,IL6,805,Muramyl dipeptide sensing (Crohn disease)
NOD2,NLRP1,996,Muramyl dipeptide sensing (Crohn disease)
NOD2,BIRC2,832,Muramyl dipeptide sensing (Crohn disease)
NOD2,TLR7,714,Muramyl dipeptide sensing (Crohn disease)
NOD2,ATG16L1,999,Muramyl dipeptide sensing (Crohn disease)
NOD2,ATG12,953,Muramyl dipeptide sensing (Crohn disease)
MYD88,CD4,850,TLR signaling adaptor
MYD88,TNFRSF1A,818,TLR signaling adaptor
MYD88,BCL3,702,TLR signaling adaptor
MYD88,TAB1,979,TLR signaling adaptor
MYD88,NFKBIA,903,TLR signaling adaptor
MYD88,RIPK2,712,TLR signaling adaptor
MYD88,RELB,766,TLR signaling adaptor
MYD88,NOD1,744,TLR signaling adaptor
MYD88,CCL2,728,TLR signaling adaptor
MYD88,NFKB1,972,TLR signaling adaptor
MYD88,IL2,714,TLR signaling adaptor
MYD88,UNC93B1,808,TLR signaling adaptor
MYD88,IFNG,899,TLR signaling adaptor
MYD88,MAPK14,810,TLR signaling adaptor
MYD88,IL4,797,TLR signaling adaptor
MYD88,IL1RL1,971,TLR signaling adaptor
MYD88,IRF1,965,TLR signaling adaptor
MYD88,PYCARD,843,TLR signaling adaptor
MYD88,TICAM1,928,TLR signaling adaptor
MYD88,IRAK2,999,TLR signaling adaptor
MYD88,RIPK1,893,TLR signaling adaptor
MYD88,TLR2,999,TLR signaling adaptor
MYD88,IRAK3,969,TLR signaling adaptor
MYD88,TNFRSF13B,827,TLR signaling adaptor
MYD88,MAPK3,734,TLR signaling adaptor
MYD88,IL1A,997,TLR signaling adaptor
MYD88,IL1B,999,TLR signaling adaptor
MYD88,BIRC3,926,TLR signaling adaptor
MYD88,IL1RL2,726,TLR signaling adaptor
MYD88,STAT3,838,TLR signaling adaptor
MYD88,IRF8,705,TLR signaling adaptor
MYD88,TP53,721,TLR signaling adaptor
MYD88,IFNA1,861,TLR signaling adaptor
MYD88,IL18,961,TLR signaling adaptor
MYD88,TMED7-TICAM2,795,TLR signaling adaptor
MYD88,LY96,999,TLR signaling adaptor
MYD88,TLR3,999,TLR signaling adaptor
MYD88,NOD2,854,TLR signaling adaptor
MYD88,FADD,995,TLR signaling adaptor
MYD88,CLEC7A,800,TLR signaling adaptor
MYD88,IL13,728,TLR signaling adaptor
MYD88,CXCL10,795,TLR signaling adaptor
MYD88,CXCL8,816,TLR signaling adaptor
MYD88,TLR10,964,TLR signaling adaptor
MYD88,TLR8,999,TLR signaling adaptor
MYD88,TOLLIP,998,TLR signaling adaptor
MYD88,IL1RAP,958,TLR signaling adaptor
MYD88,UBE2N,739,TLR signaling adaptor
MYD88,FLII,814,TLR signaling adaptor
MYD88,TBK1,988,TLR signaling adaptor
MYD88,SOCS3,716,TLR signaling adaptor
MYD88,CD86,780,TLR signaling adaptor
MYD88,NLRP3,747,TLR signaling adaptor
MYD88,LRRFIP2,848,TLR signaling adaptor
MYD88,UBE2V1,738,TLR signaling adaptor
MYD88,TRADD,822,TLR signaling adaptor
MYD88,HMGB1,812,TLR signaling adaptor
MYD88,CASP8,742,TLR signaling adaptor
MYD88,PELI1,748,TLR signaling adaptor
MYD88,TLR9,999,TLR signaling adaptor
MYD88,STAT1,877,TLR signaling adaptor
MYD88,TLR1,998,TLR signaling adaptor
MYD88,BECN1,990,TLR signaling adaptor
MYD88,TAB2,990,TLR signaling adaptor
MYD88,PTGS2,742,TLR signaling adaptor
MYD88,DHX9,952,TLR signaling adaptor
MYD88,MAP3K7,999,TLR signaling adaptor
MYD88,NFKB2,725,TLR signaling adaptor
MYD88,IRAK1,999,TLR signaling adaptor
MYD88,CHUK,985,TLR signaling adaptor
MYD88,JUN,756,TLR signaling adaptor
MYD88,CARD9,847,TLR signaling adaptor
MYD88,CD40,922,TLR signaling adaptor
MYD88,SRC,877,TLR signaling adaptor
MYD88,CXCR3,798,TLR signaling adaptor
MYD88,TRAF1,736,TLR signaling adaptor
MYD88,TLR4,999,TLR signaling adaptor
MYD88,MAP3K20,714,TLR signaling adaptor
MYD88,HSPA1B,856,TLR signaling adaptor
MYD88,SYK,879,TLR signaling adaptor
MYD88,FOXP3,719,TLR signaling adaptor
MYD88,HDAC6,739,TLR signaling adaptor
MYD88,CYBB,739,TLR signaling adaptor
MYD88,TAB3,975,TLR signaling adaptor
MYD88,DDX58,865,TLR signaling adaptor
MYD88,IFNB1,955,TLR signaling adaptor
MYD88,TLR7,999,TLR signaling adaptor
MYD88,IRF4,983,TLR signaling adaptor
MYD88,IL33,954,TLR signaling adaptor
MYD88,SQSTM1,739,TLR signaling adaptor
MYD88,LRRFIP1,763,TLR signaling adaptor
MYD88,TIRAP,999,TLR signaling adaptor
MYD88,TRAF3,996,TLR signaling adaptor
MYD88,SPOP,851,TLR signaling adaptor
MYD88,SPP1,729,TLR signaling adaptor
MYD88,MVP,724,TLR signaling adaptor
MYD88,MAPK8,709,TLR signaling adaptor
MYD88,IRF7,999,TLR signaling adaptor
MYD88,MX1,707,TLR signaling adaptor
MYD88,RELA,850,TLR signaling adaptor
MYD88,IL6,949,TLR signaling adaptor
MYD88,IL1R1,999,TLR signaling adaptor
MYD88,CD8A,942,TLR signaling adaptor
MYD88,TLR6,995,TLR signaling adaptor
MYD88,TNF,939,TLR signaling adaptor
MYD88,MAVS,835,TLR signaling adaptor
MYD88,SIGIRR,928,TLR signaling adaptor
MYD88,IL10,898,TLR signaling adaptor
MYD88,TICAM2,880,TLR signaling adaptor
MYD88,DHX36,928,TLR signaling adaptor
MYD88,IRF5,995,TLR signaling adaptor
MYD88,IKBKB,955,TLR signaling adaptor
MYD88,CASP1,921,TLR signaling adaptor
MYD88,TRAF6,999,TLR signaling adaptor
MYD88,AKT1,823,TLR signaling adaptor
MYD88,ITGAX,703,TLR signaling adaptor
MYD88,IKBKE,844,TLR signaling adaptor
MYD88,SARM1,966,TLR signaling adaptor
MYD88,STAP2,751,TLR signaling adaptor
MYD88,IRF3,929,TLR signaling adaptor
MYD88,BIRC2,903,TLR signaling adaptor
MYD88,ENSG00000198001,999,TLR signaling adaptor
MYD88,BTK,984,TLR signaling adaptor
MYD88,IKBKG,999,TLR signaling adaptor
MYD88,ENSG00000285082,871,TLR signaling adaptor
MYD88,TLR5,999,TLR signaling adaptor
MYD88,SOCS1,778,TLR signaling adaptor
MYD88,ISG15,737,TLR signaling adaptor
MYD88,ITGAM,796,TLR signaling adaptor
MYD88,IFIH1,779,TLR signaling adaptor
MYD88,IL17A,824,TLR signaling adaptor
MYD88,JAK1,760,TLR signaling adaptor
CARD9,MAPK13,913,Fungal recognition signaling
CARD9,MAPK12,938,Fungal recognition signaling
CARD9,MAPK1,916,Fungal recognition signaling
CARD9,RIPK2,971,Fungal recognition signaling
CARD9,NOD1,795,Fungal recognition signaling
CARD9,MAPK14,939,Fungal recognition signaling
CARD9,PYCARD,774,Fungal recognition signaling
CARD9,MAPK3,926,Fungal recognition signaling
CARD9,FCER1G,812,Fungal recognition signaling
CARD9,TRIM62,894,Fungal recognition signaling
CARD9,AIRE,716,Fungal recognition signaling
CARD9,CLEC4E,877,Fungal recognition signaling
CARD9,CLEC4D,715,Fungal recognition signaling
CARD9,NOD2,995,Fungal recognition signaling
CARD9,CLEC7A,973,Fungal recognition signaling
CARD9,IL23R,709,Fungal recognition signaling
CARD9,PRKCD,955,Fungal recognition signaling
CARD9,MAPK11,943,Fungal recognition signaling
CARD9,NLRP3,756,Fungal recognition signaling
CARD9,CASP8,998,Fungal recognition signaling
CARD9,CHUK,928,Fungal recognition signaling
CARD9,IKBKG,929,Fungal recognition signaling
CARD9,IFIH1,765,Fungal recognition signaling
CARD9,MAPK9,909,Fungal recognition signaling
CARD9,DDX58,845,Fungal recognition signaling
CARD9,MAPK8,921,Fungal recognition signaling
CARD9,TLR4,749,Fungal recognition signaling
CARD9,MALT1,999,Fungal recognition signaling
CARD9,MYD88,847,Fungal recognition signaling
CARD9,CARD11,821,Fungal recognition signaling
CARD9,IRF3,936,Fungal recognition signaling
CARD9,TRAF6,759,Fungal recognition signaling
CARD9,SYK,999,Fungal recognition signaling
CARD9,IKBKB,949,Fungal recognition signaling
CARD9,BCL10,999,Fungal recognition signaling
CARD9,CASP1,814,Fungal recognition signaling
CARD9,CLEC6A,922,Fungal recognition signaling
IL17A,CD4,972,Th17 response to commensals
IL17A,TNFRSF1A,826,Th17 response to commensals
IL17A,TBX21,937,Th17 response to commensals
IL17A,OSM,799,Th17 response to commensals
IL17A,GZMB,730,Th17 response to commensals
IL17A,NFKBIA,732,Th17 response to commensals
IL17A,TIMP1,713,Th17 response to commensals
IL17A,TGFB1,903,Th17 response to commensals
IL17A,CSF3,928,Th17 response to commensals
IL17A,CCL2,874,Th17 response to commensals
IL17A,NFKB1,791,Th17 response to commensals
IL17A,IL2,984,Th17 response to commensals
IL17A,CD69,738,Th17 response to commensals
IL17A,IL23A,920,Th17 response to commensals
IL17A,IL26,832,Th17 response to commensals
IL17A,IFNG,978,Th17 response to commensals
IL17A,IL4,959,Th17 response to commensals
IL17A,IL5,939,Th17 response to commensals
IL17A,CCR7,704,Th17 response to commensals
IL17A,LIF,776,Th17 response to commensals
IL17A,CRP,751,Th17 response to commensals
IL17A,TLR2,766,Th17 response to commensals
IL17A,IL12RB2,761,Th17 response to commensals
IL17A,MAPK3,724,Th17 response to commensals
IL17A,ITGAE,713,Th17 response to commensals
IL17A,IL1A,929,Th17 response to commensals
IL17A,IL1B,962,Th17 response to commensals
IL17A,IL7,833,Th17 response to commensals
IL17A,CD80,809,Th17 response to commensals
IL17A,FGF2,747,Th17 response to commensals
IL17A,STAT3,944,Th17 response to commensals
IL17A,IL9,896,Th17 response to commensals
IL17A,IFNA1,790,Th17 response to commensals
IL17A,IL18,835,Th17 response to commensals
IL17A,IL17RB,918,Th17 response to commensals
IL17A,CCR2,751,Th17 response to commensals
IL17A,CCR5,760,Th17 response to commensals
IL17A,ALB,800,Th17 response to commensals
IL17A,IL17RC,999,Th17 response to commensals
IL17A,CXCL5,794,Th17 response to commensals
IL17A,IL17RD,737,Th17 response to commensals
IL17A,IL15,916,Th17 response to commensals
IL17A,IL3,757,Th17 response to commensals
IL17A,CSF2,888,Th17 response to commensals
IL17A,RAG1,708,Th17 response to commensals
IL17A,MMP3,763,Th17 response to commensals
IL17A,STAT6,877,Th17 response to commensals
IL17A,CCL11,818,Th17 response to commensals
IL17A,CLEC7A,757,Th17 response to commensals
IL17A,IL16,779,Th17 response to commensals
IL17A,IL13,940,Th17 response to commensals
IL17A,CXCL10,850,Th17 response to commensals
IL17A,IL7R,813,Th17 response to commensals
IL17A,CXCL8,924,Th17 response to commensals
IL17A,CD19,732,Th17 response to commensals
IL17A,ICOS,800,Th17 response to commensals
IL17A,IL17RA,999,Th17 response to commensals
IL17A,IL23R,927,Th17 response to commensals
IL17A,MMP1,712,Th17 response to commensals
IL17A,CD28,867,Th17 response to commensals
IL17A,RORC,933,Th17 response to commensals
IL17A,IL25,892,Th17 response to commensals
IL17A,SOCS3,772,Th17 response to commensals
IL17A,CD86,752,Th17 response to commensals
IL17A,PDCD1,728,Th17 response to commensals
IL17A,IL17F,994,Th17 response to commensals
IL17A,TSLP,836,Th17 response to commensals
IL17A,STAT5A,746,Th17 response to commensals
IL17A,CCR6,889,Th17 response to commensals
IL17A,TRAF3IP2,849,Th17 response to commensals
IL17A,CCRL2,873,Th17 response to commensals
IL17A,STAT4,779,Th17 response to commensals
IL17A,CCL20,806,Th17 response to commensals
IL17A,STAT1,819,Th17 response to commensals
IL17A,CXCL9,830,Th17 response to commensals
IL17A,IFNGR1,761,Th17 response to commensals
IL17A,FCGR3A,808,Th17 response to commensals
IL17A,CD40LG,732,Th17 response to commensals
IL17A,CD40,856,Th17 response to commensals
IL17A,MMP9,814,Th17 response to commensals
IL17A,LCN2,838,Th17 response to commensals
IL17A,CXCR3,726,Th17 response to commensals
IL17A,TLR4,867,Th17 response to commensals
IL17A,FOXP3,953,Th17 response to commensals
IL17A,MOG,856,Th17 response to commensals
IL17A,IL31,782,Th17 response to commensals
IL17A,GATA3,793,Th17 response to commensals
IL17A,IL2RA,805,Th17 response to commensals
IL17A,IFNB1,718,Th17 response to commensals
IL17A,IL33,852,Th17 response to commensals
IL17A,CD274,704,Th17 response to commensals
IL17A,CLEC6A,704,Th17 response to commensals
IL17A,IL17RE,771,Th17 response to commensals
IL17A,CXCL1,902,Th17 response to commensals
IL17A,IL4R,724,Th17 response to commensals
IL17A,TNFSF11,744,Th17 response to commensals
IL17A,IL6,980,Th17 response to commensals
IL17A,IL1R1,723,Th17 response to commensals
IL17A,CD8A,936,Th17 response to commensals
IL17A,PRF1,714,Th17 response to commensals
IL17A,CD44,720,Th17 response to commensals
IL17A,TNF,958,Th17 response to commensals
IL17A,LTA,732,Th17 response to commensals
IL17A,PTPRC,782,Th17 response to commensals
IL17A,IL10,980,Th17 response to commensals
IL17A,IDO1,804,Th17 response to commensals
IL17A,IGLL5,911,Th17 response to commensals
IL17A,FCGR3B,808,Th17 response to commensals
IL17A,IL22,976,Th17 response to commensals
IL17A,IDO2,764,Th17 response to commensals
IL17A,IGKV2D-28,900,Th17 response to commensals
IL17A,ITGAX,867,Th17 response to commensals
IL17A,IL12RB1,799,Th17 response to commensals
IL17A,CCL5,849,Th17 response to commensals
IL17A,CCL3,847,Th17 response to commensals
IL17A,RAG2,737,Th17 response to commensals
IL17A,ENSG00000277856,900,Th17 response to commensals
IL17A,CCL4,822,Th17 response to commensals
IL17A,ITGAM,783,Th17 response to commensals
IL17A,CTLA4,880,Th17 response to commensals
IL17A,IL21,701,Th17 response to commensals
IL17A,MYD88,824,Th17 response to commensals
IL17A,SELL,744,Th17 response to commensals
IL22,CD4,913,Epithelial barrier maintenance
IL22,TBX21,774,Epithelial barrier maintenance
IL22,IL2RB,831,Epithelial barrier maintenance
IL22,GZMB,712,Epithelial barrier maintenance
IL22,IL2,860,Epithelial barrier maintenance
IL22,IL10RA,938,Epithelial barrier maintenance
IL22,IL23A,892,Epithelial barrier maintenance
IL22,IL26,883,Epithelial barrier maintenance
IL22,IFNG,939,Epithelial barrier maintenance
IL22,IL4,851,Epithelial barrier maintenance
IL22,IL5,850,Epithelial barrier maintenance
IL22,IL9R,748,Epithelial barrier maintenance
IL22,IL17C,757,Epithelial barrier maintenance
IL22,IL12RB2,824,Epithelial barrier maintenance
IL22,IL1A,775,Epithelial barrier maintenance
IL22,IL1B,846,Epithelial barrier maintenance
IL22,IL27RA,769,Epithelial barrier maintenance
IL22,STAT3,926,Epithelial barrier maintenance
IL22,IFNAR1,867,Epithelial barrier maintenance
IL22,IL22RA1,999,Epithelial barrier maintenance
IL22,REG3G,865,Epithelial barrier maintenance
IL22,OSMR,706,Epithelial barrier maintenance
IL22,IL9,866,Epithelial barrier maintenance
IL22,EGFR,749,Epithelial barrier maintenance
IL22,IFNA1,764,Epithelial barrier maintenance
IL22,IL18,837,Epithelial barrier maintenance
IL22,IL10RB,999,Epithelial barrier maintenance
IL22,IL17RC,810,Epithelial barrier maintenance
IL22,CXCL5,733,Epithelial barrier maintenance
IL22,IL15,706,Epithelial barrier maintenance
IL22,CSF2,802,Epithelial barrier maintenance
IL22,IL22RA2,999,Epithelial barrier maintenance
IL22,DEFB4A,756,Epithelial barrier maintenance
IL22,IL13,847,Epithelial barrier maintenance
IL22,IL7R,872,Epithelial barrier maintenance
IL22,CXCL8,720,Epithelial barrier maintenance
IL22,IL20RA,951,Epithelial barrier maintenance
IL22,IL17RA,822,Epithelial barrier maintenance
IL22,IL23R,947,Epithelial barrier maintenance
IL22,RORC,850,Epithelial barrier maintenance
IL22,IFNLR1,915,Epithelial barrier maintenance
IL22,IL3RA,755,Epithelial barrier maintenance
IL22,IL25,868,Epithelial barrier maintenance
IL22,IL20RB,907,Epithelial barrier maintenance
IL22,IFNL1,784,Epithelial barrier maintenance
IL22,IFNL2,901,Epithelial barrier maintenance
IL22,IL17F,971,Epithelial barrier maintenance
IL22,IL21R,823,Epithelial barrier maintenance
IL22,CCR6,785,Epithelial barrier maintenance
IL22,IFNAR2,822,Epithelial barrier maintenance
IL22,CCRL2,773,Epithelial barrier maintenance
IL22,CCL20,755,Epithelial barrier maintenance
IL22,STAT1,757,Epithelial barrier maintenance
IL22,IFNGR1,771,Epithelial barrier maintenance
IL22,IL6R,810,Epithelial barrier maintenance
IL22,S100A7,799,Epithelial barrier maintenance
IL22,CD40LG,729,Epithelial barrier maintenance
IL22,IL13RA1,758,Epithelial barrier maintenance
IL22,IL13RA2,739,Epithelial barrier maintenance
IL22,IL2RG,837,Epithelial barrier maintenance
IL22,FOXP3,779,Epithelial barrier maintenance
IL22,IL31,722,Epithelial barrier maintenance
IL22,GATA3,721,Epithelial barrier maintenance
IL22,IL2RA,822,Epithelial barrier maintenance
IL22,IFNB1,738,Epithelial barrier maintenance
IL22,IL6ST,744,Epithelial barrier maintenance
IL22,IL33,735,Epithelial barrier maintenance
IL22,CRLF2,758,Epithelial barrier maintenance
IL22,IL24,855,Epithelial barrier maintenance
IL22,CXCL1,718,Epithelial barrier maintenance
IL22,IL4R,811,Epithelial barrier maintenance
IL22,IL6,863,Epithelial barrier maintenance
IL22,CD8A,771,Epithelial barrier maintenance
IL22,TNF,827,Epithelial barrier maintenance
IL22,IL5RA,728,Epithelial barrier maintenance
IL22,IL10,944,Epithelial barrier maintenance
IL22,TYK2,786,Epithelial barrier maintenance
IL22,IL11RA,709,Epithelial barrier maintenance
IL22,IL17A,976,Epithelial barrier maintenance
IL22,ITGAX,729,Epithelial barrier maintenance
IL22,IL19,830,Epithelial barrier maintenance
IL22,JAK1,779,Epithelial barrier maintenance
IL22,IFNL3,757,Epithelial barrier maintenance
IL22,IL12RB1,891,Epithelial barrier maintenance
REG3G,REG3A,894,Antimicrobial peptide
REG3G,IL22RA2,759,Antimicrobial peptide
REG3G,IL22,865,Antimicrobial peptide
DEFB1,LTF,716,Beta-defensin (antimicrobial)
DEFB1,H4C6,889,Beta-defensin (antimicrobial)
DEFB1,DEFB129,701,Beta-defensin (antimicrobial)
DEFB1,DEFB118,781,Beta-defensin (antimicrobial)
DEFB1,BRD4,984,Beta-defensin (antimicrobial)
DEFB1,CAMP,866,Beta-defensin (antimicrobial)
DEFB1,DEFA4,912,Beta-defensin (antimicrobial)
DEFB1,DEFA6,849,Beta-defensin (antimicrobial)
DEFB1,S100A7,809,Beta-defensin (antimicrobial)
DEFB1,BRDT,930,Beta-defensin (antimicrobial)
DEFB1,DEFB127,749,Beta-defensin (antimicrobial)
DEFB1,BRD2,838,Beta-defensin (antimicrobial)
DEFB1,DEFB132,725,Beta-defensin (antimicrobial)
DEFB1,DEFB106B,900,Beta-defensin (antimicrobial)
DEFB1,DEFB105A,901,Beta-defensin (antimicrobial)
DEFB1,DEFB104A,956,Beta-defensin (antimicrobial)
DEFB1,DEFA5,927,Beta-defensin (antimicrobial)
DEFB1,DEFA3,915,Beta-defensin (antimicrobial)
DEFB1,H4C7,891,Beta-defensin (antimicrobial)
DEFB1,DEFB119,741,Beta-defensin (antimicrobial)
DEFB1,DEFB126,780,Beta-defensin (antimicrobial)
DEFB1,CCR6,994,Beta-defensin (antimicrobial)
DEFB1,DEFB105B,773,Beta-defensin (antimicrobial)
DEFB1,DEFA1B,955,Beta-defensin (antimicrobial)
DEFB1,DEFA1,881,Beta-defensin (antimicrobial)
DEFB1,DEFB103A,995,Beta-defensin (antimicrobial)
DEFB1,DEFB107A,838,Beta-defensin (antimicrobial)
DEFB1,DEFB110,711,Beta-defensin (antimicrobial)
DEFB1,DEFB4A,997,Beta-defensin (antimicrobial)
DEFB1,DEFB114,711,Beta-defensin (antimicrobial)
DEFB1,DEFB108B,807,Beta-defensin (antimicrobial)
DEFB1,DEFB104B,872,Beta-defensin (antimicrobial)
DEFB1,BRD3,705,Beta-defensin (antimicrobial)
DEFB1,CCRL2,989,Beta-defensin (antimicrobial)
MUC2,KRT20,811,Mucin barrier
MUC2,CLCA1,708,Mucin barrier
MUC2,MUC17,945,Mucin barrier
MUC2,GALNT14,854,Mucin barrier
MUC2,KRT7,742,Mucin barrier
MUC2,OCLN,710,Mucin barrier
MUC2,C17orf97,786,Mucin barrier
MUC2,GALNT12,703,Mucin barrier
MUC2,MUC21,808,Mucin barrier
MUC2,MUC3A,908,Mucin barrier
MUC2,CDX2,868,Mucin barrier
MUC2,MUC16,886,Mucin barrier
MUC2,MUC6,993,Mucin barrier
MUC2,MUC7,966,Mucin barrier
MUC2,MUC20,930,Mucin barrier
MUC2,MUC4,972,Mucin barrier
MUC2,TFF3,901,Mucin barrier
MUC2,FAU,806,Mucin barrier
MUC2,MUC15,887,Mucin barrier
MUC2,GALNT4,811,Mucin barrier
MUC2,MUC5B,898,Mucin barrier
MUC2,MUC12,951,Mucin barrier
MUC2,FCGBP,885,Mucin barrier
MUC2,MUC1,972,Mucin barrier
MUC2,MUC13,961,Mucin barrier
